Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019: QTY SOLD,01-2019: QTY SOLDArqoob Cost,01-2019: QTY SOLDQTY SOLD VALUE,02-2019: QTY SOLD,02-2019: QTY SOLDArqoob Cost,02-2019: QTY SOLDQTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLDArqoob Cost,03-2019: QTY SOLDQTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLDArqoob Cost,04-2019: QTY SOLDQTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLDArqoob Cost,05-2019: QTY SOLDQTY SOLD VALUE,06-2019: QTY SOLD,06-2019: QTY SOLDArqoob Cost,06-2019: QTY SOLDQTY SOLD VALUE,07-2019: QTY SOLD,07-2019: QTY SOLDArqoob Cost,07-2019: QTY SOLDQTY SOLD VALUE,08-2019: QTY SOLD,08-2019: QTY SOLDArqoob Cost,08-2019: QTY SOLDQTY SOLD VALUE,09-2019: QTY SOLD,09-2019: QTY SOLDArqoob Cost,09-2019: QTY SOLDQTY SOLD VALUE,Total Qty Sold,Total Arghoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
738074,6953156270961,CATSX-F0G      ,BASEUS                        ,161.91,344.5,719,0,1,161.91,344.5,1,161.91,344.5,1,161.91,344.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3.0,485.73,1033.5,0.01,0.33,114.83,0.0,0.0,0.0,0.0,
738075,6953156261631,CATCY-B0G      ,BASEUS                        ,65.0,129.5,269,1,1,65.0,129.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,65.0,129.5,0.0,0.11,14.39,129.5,0.0,inf,inf,
738076,6953156258396,CATSX-D0G      ,BASEUS                        ,61.0,124.5,259,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
738079,6953156282926,ACSR-XJ09      ,BASEUS                        ,23.46,49.5,99,0,4,93.84,198.0,1,23.46,49.5,4,93.84,198.0,1,23.46,49.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,10.0,234.6,495.0,0.04,1.11,55.0,0.0,0.0,0.0,0.0,
738080,6953156282933,ACSR-XJ0A      ,BASEUS                        ,23.46,39.5,79,0,4,93.84,158.0,2,46.92,79.0,1,23.46,39.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7.0,164.22,276.5,0.03,0.78,30.72,0.0,0.0,0.0,0.0,
742245,6953156284241,CAHUB-F02      ,BASEUS                        ,12.31,29.5,59,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
742247,6953156284258,CAHUB-G01      ,BASEUS                        ,12.71,29.5,59,0,0,0.0,0.0,1,12.71,29.5,4,50.84,118.0,3,38.13,88.5,2,25.42,59.0,2,25.42,59.0,0,0.0,0.0,1,12.71,29.5,0,0.0,0.0,13.0,165.23,383.5,0.05,1.44,42.61,0.0,0.0,0.0,0.0,
742292,6953156279650,SGAPIPD-CX02   ,BASEUS                        ,14.43490654,39.5,79,0,7,101.04,276.5,2,28.87,79.0,4,57.74,158.0,-1,-14.43,-39.5,0,0.0,0.0,0,0.0,0.0,-1,-14.43,-39.5,0,0.0,0.0,0,0.0,0.0,11.0,158.79,434.5,0.04,1.22,48.28,0.0,0.0,0.0,0.0,
742296,6953156279148,SUGENT-XF01    ,BASEUS                        ,17.77073171,39.5,79,1,10,177.71,395.0,8,142.17,316.0,9,159.94,355.5,10,177.71,395.0,18,319.87,711.0,6,106.62,237.0,19,337.64,750.5,11,195.48,434.5,0,0.0,0.0,91.0,1617.14,3594.5,0.33,10.11,399.39,39.5,3.03,0.0,0.0,2019-09-18
742297,6953156272668,ACAPIPHX-ABJ01 ,BASEUS                        ,63.54,119.5,249,0,3,190.62,358.5,1,63.54,119.5,1,63.54,119.5,2,127.08,239.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7.0,444.78,836.5,0.03,0.78,92.94,0.0,0.0,0.0,0.0,
